"fecha","tc_SBS_venta","dia","mes","year","fecha2"
"03Ene23",3.823,"03","01",2023,2023-01-03
"04Ene23",3.827,"04","01",2023,2023-01-04
"05Ene23",3.83,"05","01",2023,2023-01-05
"06Ene23",3.806,"06","01",2023,2023-01-06
"09Ene23",3.803,"09","01",2023,2023-01-09
"10Ene23",3.806,"10","01",2023,2023-01-10
"11Ene23",3.783,"11","01",2023,2023-01-11
"12Ene23",3.784,"12","01",2023,2023-01-12
"13Ene23",3.806,"13","01",2023,2023-01-13
"16Ene23",3.822,"16","01",2023,2023-01-16
"17Ene23",3.842,"17","01",2023,2023-01-17
"18Ene23",3.836,"18","01",2023,2023-01-18
"19Ene23",3.861,"19","01",2023,2023-01-19
"20Ene23",3.859,"20","01",2023,2023-01-20
"23Ene23",3.873,"23","01",2023,2023-01-23
"24Ene23",3.885,"24","01",2023,2023-01-24
"25Ene23",3.9,"25","01",2023,2023-01-25
"26Ene23",3.867,"26","01",2023,2023-01-26
"27Ene23",3.829,"27","01",2023,2023-01-27
"30Ene23",3.859,"30","01",2023,2023-01-30
"31Ene23",3.851,"31","01",2023,2023-01-31
"01Feb23",3.848,"01","02",2023,2023-02-01
"02Feb23",3.835,"02","02",2023,2023-02-02
"03Feb23",3.847,"03","02",2023,2023-02-03
"06Feb23",3.855,"06","02",2023,2023-02-06
"07Feb23",3.848,"07","02",2023,2023-02-07
"08Feb23",3.856,"08","02",2023,2023-02-08
"09Feb23",3.869,"09","02",2023,2023-02-09
"10Feb23",3.858,"10","02",2023,2023-02-10
"13Feb23",3.854,"13","02",2023,2023-02-13
"14Feb23",3.861,"14","02",2023,2023-02-14
"15Feb23",3.865,"15","02",2023,2023-02-15
"16Feb23",3.868,"16","02",2023,2023-02-16
"17Feb23",3.849,"17","02",2023,2023-02-17
"20Feb23",3.85,"20","02",2023,2023-02-20
"21Feb23",3.836,"21","02",2023,2023-02-21
"22Feb23",3.827,"22","02",2023,2023-02-22
"23Feb23",3.805,"23","02",2023,2023-02-23
"24Feb23",3.82,"24","02",2023,2023-02-24
"27Feb23",3.816,"27","02",2023,2023-02-27
"28Feb23",3.81,"28","02",2023,2023-02-28
"01Mar23",3.784,"01","03",2023,2023-03-01
"02Mar23",3.784,"02","03",2023,2023-03-02
"03Mar23",3.789,"03","03",2023,2023-03-03
"06Mar23",3.788,"06","03",2023,2023-03-06
"07Mar23",3.789,"07","03",2023,2023-03-07
"08Mar23",3.788,"08","03",2023,2023-03-08
"09Mar23",3.792,"09","03",2023,2023-03-09
"10Mar23",3.786,"10","03",2023,2023-03-10
"13Mar23",3.803,"13","03",2023,2023-03-13
"14Mar23",3.789,"14","03",2023,2023-03-14
"15Mar23",3.808,"15","03",2023,2023-03-15
"16Mar23",3.801,"16","03",2023,2023-03-16
"17Mar23",3.798,"17","03",2023,2023-03-17
"20Mar23",3.785,"20","03",2023,2023-03-20
"21Mar23",3.77,"21","03",2023,2023-03-21
"22Mar23",3.774,"22","03",2023,2023-03-22
"23Mar23",3.767,"23","03",2023,2023-03-23
"24Mar23",3.773,"24","03",2023,2023-03-24
"27Mar23",3.772,"27","03",2023,2023-03-27
"28Mar23",3.768,"28","03",2023,2023-03-28
"29Mar23",3.759,"29","03",2023,2023-03-29
"30Mar23",3.761,"30","03",2023,2023-03-30
"31Mar23",3.765,"31","03",2023,2023-03-31
"03Abr23",3.77,"03","04",2023,2023-04-03
"04Abr23",3.773,"04","04",2023,2023-04-04
"05Abr23",3.774,"05","04",2023,2023-04-05
"06Abr23",NA,"06","04",2023,2023-04-06
"07Abr23",NA,"07","04",2023,2023-04-07
"10Abr23",3.781,"10","04",2023,2023-04-10
"11Abr23",3.787,"11","04",2023,2023-04-11
"12Abr23",3.78,"12","04",2023,2023-04-12
"13Abr23",3.777,"13","04",2023,2023-04-13
"14Abr23",3.784,"14","04",2023,2023-04-14
"17Abr23",3.785,"17","04",2023,2023-04-17
"18Abr23",3.781,"18","04",2023,2023-04-18
"19Abr23",3.781,"19","04",2023,2023-04-19
"20Abr23",3.768,"20","04",2023,2023-04-20
"21Abr23",3.768,"21","04",2023,2023-04-21
"24Abr23",3.761,"24","04",2023,2023-04-24
"25Abr23",3.762,"25","04",2023,2023-04-25
"26Abr23",3.75,"26","04",2023,2023-04-26
"27Abr23",3.737,"27","04",2023,2023-04-27
"28Abr23",3.719,"28","04",2023,2023-04-28
"01May23",NA,"01","05",2023,2023-05-01
"02May23",3.715,"02","05",2023,2023-05-02
"03May23",3.709,"03","05",2023,2023-05-03
"04May23",3.719,"04","05",2023,2023-05-04
"05May23",3.717,"05","05",2023,2023-05-05
"08May23",3.71,"08","05",2023,2023-05-08
"09May23",3.702,"09","05",2023,2023-05-09
"10May23",3.678,"10","05",2023,2023-05-10
"11May23",3.683,"11","05",2023,2023-05-11
"12May23",3.659,"12","05",2023,2023-05-12
"15May23",3.667,"15","05",2023,2023-05-15
"16May23",3.683,"16","05",2023,2023-05-16
"17May23",3.697,"17","05",2023,2023-05-17
"18May23",3.702,"18","05",2023,2023-05-18
"19May23",3.696,"19","05",2023,2023-05-19
"22May23",3.695,"22","05",2023,2023-05-22
"23May23",3.695,"23","05",2023,2023-05-23
"24May23",3.69,"24","05",2023,2023-05-24
"25May23",3.698,"25","05",2023,2023-05-25
"26May23",3.675,"26","05",2023,2023-05-26
"29May23",3.68,"29","05",2023,2023-05-29
"30May23",3.677,"30","05",2023,2023-05-30
"31May23",3.682,"31","05",2023,2023-05-31
"01Jun23",3.684,"01","06",2023,2023-06-01
"02Jun23",3.688,"02","06",2023,2023-06-02
"05Jun23",3.68,"05","06",2023,2023-06-05
"06Jun23",3.691,"06","06",2023,2023-06-06
"07Jun23",3.674,"07","06",2023,2023-06-07
"08Jun23",3.661,"08","06",2023,2023-06-08
"09Jun23",3.646,"09","06",2023,2023-06-09
"12Jun23",3.658,"12","06",2023,2023-06-12
"13Jun23",3.648,"13","06",2023,2023-06-13
"14Jun23",3.652,"14","06",2023,2023-06-14
"15Jun23",3.654,"15","06",2023,2023-06-15
"16Jun23",3.645,"16","06",2023,2023-06-16
"19Jun23",3.647,"19","06",2023,2023-06-19
"20Jun23",3.648,"20","06",2023,2023-06-20
"21Jun23",3.645,"21","06",2023,2023-06-21
"22Jun23",3.641,"22","06",2023,2023-06-22
"23Jun23",3.638,"23","06",2023,2023-06-23
"26Jun23",3.642,"26","06",2023,2023-06-26
"27Jun23",3.64,"27","06",2023,2023-06-27
"28Jun23",3.636,"28","06",2023,2023-06-28
"29Jun23",NA,"29","06",2023,2023-06-29
"30Jun23",3.633,"30","06",2023,2023-06-30
"03Jul23",3.63,"03","07",2023,2023-07-03
"04Jul23",3.634,"04","07",2023,2023-07-04
"05Jul23",3.633,"05","07",2023,2023-07-05
"06Jul23",3.648,"06","07",2023,2023-07-06
"07Jul23",3.643,"07","07",2023,2023-07-07
"10Jul23",3.643,"10","07",2023,2023-07-10
"11Jul23",3.638,"11","07",2023,2023-07-11
"12Jul23",3.599,"12","07",2023,2023-07-12
"13Jul23",3.573,"13","07",2023,2023-07-13
"14Jul23",3.567,"14","07",2023,2023-07-14
"17Jul23",3.57,"17","07",2023,2023-07-17
"18Jul23",3.557,"18","07",2023,2023-07-18
"19Jul23",3.589,"19","07",2023,2023-07-19
"20Jul23",3.592,"20","07",2023,2023-07-20
"21Jul23",3.591,"21","07",2023,2023-07-21
"24Jul23",3.588,"24","07",2023,2023-07-24
"25Jul23",3.604,"25","07",2023,2023-07-25
"26Jul23",3.602,"26","07",2023,2023-07-26
"27Jul23",3.602,"27","07",2023,2023-07-27
"28Jul23",NA,"28","07",2023,2023-07-28
"31Jul23",3.614,"31","07",2023,2023-07-31
"01Ago23",3.634,"01","08",2023,2023-08-01
"02Ago23",3.661,"02","08",2023,2023-08-02
"03Ago23",3.696,"03","08",2023,2023-08-03
"04Ago23",3.692,"04","08",2023,2023-08-04
"07Ago23",3.694,"07","08",2023,2023-08-07
"08Ago23",3.71,"08","08",2023,2023-08-08
"09Ago23",3.699,"09","08",2023,2023-08-09
"10Ago23",3.678,"10","08",2023,2023-08-10
"11Ago23",3.684,"11","08",2023,2023-08-11
"14Ago23",3.703,"14","08",2023,2023-08-14
"15Ago23",3.719,"15","08",2023,2023-08-15
"16Ago23",3.717,"16","08",2023,2023-08-16
"17Ago23",3.73,"17","08",2023,2023-08-17
"18Ago23",3.72,"18","08",2023,2023-08-18
"21Ago23",3.722,"21","08",2023,2023-08-21
"22Ago23",3.729,"22","08",2023,2023-08-22
"23Ago23",3.716,"23","08",2023,2023-08-23
"24Ago23",3.701,"24","08",2023,2023-08-24
"25Ago23",3.699,"25","08",2023,2023-08-25
"28Ago23",3.699,"28","08",2023,2023-08-28
"29Ago23",3.696,"29","08",2023,2023-08-29
"30Ago23",NA,"30","08",2023,2023-08-30
"31Ago23",3.699,"31","08",2023,2023-08-31
"01Set23",3.695,"01","09",2023,2023-09-01
"04Set23",3.698,"04","09",2023,2023-09-04
"05Set23",3.709,"05","09",2023,2023-09-05
"06Set23",3.708,"06","09",2023,2023-09-06
"07Set23",3.713,"07","09",2023,2023-09-07
"08Set23",3.716,"08","09",2023,2023-09-08
"11Set23",3.704,"11","09",2023,2023-09-11
"12Set23",3.708,"12","09",2023,2023-09-12
"13Set23",3.706,"13","09",2023,2023-09-13
"14Set23",3.712,"14","09",2023,2023-09-14
"15Set23",3.722,"15","09",2023,2023-09-15
"18Set23",3.714,"18","09",2023,2023-09-18
"19Set23",3.717,"19","09",2023,2023-09-19
"20Set23",3.718,"20","09",2023,2023-09-20
"21Set23",3.744,"21","09",2023,2023-09-21
"22Set23",3.748,"22","09",2023,2023-09-22
"25Set23",3.773,"25","09",2023,2023-09-25
"26Set23",3.787,"26","09",2023,2023-09-26
"27Set23",3.799,"27","09",2023,2023-09-27
"28Set23",3.806,"28","09",2023,2023-09-28
"29Set23",3.797,"29","09",2023,2023-09-29
"02Oct23",3.807,"02","10",2023,2023-10-02
"03Oct23",3.812,"03","10",2023,2023-10-03
"04Oct23",3.818,"04","10",2023,2023-10-04
"05Oct23",3.826,"05","10",2023,2023-10-05
"06Oct23",3.828,"06","10",2023,2023-10-06
"09Oct23",3.837,"09","10",2023,2023-10-09
"10Oct23",3.828,"10","10",2023,2023-10-10
"11Oct23",3.826,"11","10",2023,2023-10-11
"12Oct23",3.841,"12","10",2023,2023-10-12
"13Oct23",3.85,"13","10",2023,2023-10-13
"16Oct23",3.859,"16","10",2023,2023-10-16
"17Oct23",3.861,"17","10",2023,2023-10-17
"18Oct23",3.872,"18","10",2023,2023-10-18
"19Oct23",3.873,"19","10",2023,2023-10-19
"20Oct23",3.876,"20","10",2023,2023-10-20
"23Oct23",3.877,"23","10",2023,2023-10-23
"24Oct23",3.87,"24","10",2023,2023-10-24
"25Oct23",3.871,"25","10",2023,2023-10-25
"26Oct23",3.872,"26","10",2023,2023-10-26
"27Oct23",3.863,"27","10",2023,2023-10-27
"30Oct23",3.851,"30","10",2023,2023-10-30
"31Oct23",3.842,"31","10",2023,2023-10-31
"01Nov23",NA,"01","11",2023,2023-11-01
"02Nov23",3.807,"02","11",2023,2023-11-02
"03Nov23",3.759,"03","11",2023,2023-11-03
"06Nov23",3.765,"06","11",2023,2023-11-06
"07Nov23",3.775,"07","11",2023,2023-11-07
"08Nov23",3.797,"08","11",2023,2023-11-08
"09Nov23",3.797,"09","11",2023,2023-11-09
"10Nov23",3.813,"10","11",2023,2023-11-10
"13Nov23",3.813,"13","11",2023,2023-11-13
"14Nov23",3.777,"14","11",2023,2023-11-14
"15Nov23",3.775,"15","11",2023,2023-11-15
"16Nov23",3.772,"16","11",2023,2023-11-16
"17Nov23",3.775,"17","11",2023,2023-11-17
"20Nov23",3.749,"20","11",2023,2023-11-20
"21Nov23",3.745,"21","11",2023,2023-11-21
"22Nov23",3.746,"22","11",2023,2023-11-22
"23Nov23",3.741,"23","11",2023,2023-11-23
"24Nov23",3.739,"24","11",2023,2023-11-24
"27Nov23",3.729,"27","11",2023,2023-11-27
"28Nov23",3.732,"28","11",2023,2023-11-28
"29Nov23",3.737,"29","11",2023,2023-11-29
"30Nov23",3.739,"30","11",2023,2023-11-30
"01Dic23",3.737,"01","12",2023,2023-12-01
"04Dic23",3.744,"04","12",2023,2023-12-04
"05Dic23",3.755,"05","12",2023,2023-12-05
"06Dic23",3.757,"06","12",2023,2023-12-06
"07Dic23",3.757,"07","12",2023,2023-12-07
"08Dic23",NA,"08","12",2023,2023-12-08
"11Dic23",3.774,"11","12",2023,2023-12-11
"12Dic23",3.778,"12","12",2023,2023-12-12
"13Dic23",3.785,"13","12",2023,2023-12-13
"14Dic23",3.772,"14","12",2023,2023-12-14
"15Dic23",3.771,"15","12",2023,2023-12-15
"18Dic23",3.756,"18","12",2023,2023-12-18
"19Dic23",3.719,"19","12",2023,2023-12-19
"20Dic23",3.712,"20","12",2023,2023-12-20
"21Dic23",3.709,"21","12",2023,2023-12-21
"22Dic23",3.69,"22","12",2023,2023-12-22
"25Dic23",NA,"25","12",2023,2023-12-25
"26Dic23",3.696,"26","12",2023,2023-12-26
"27Dic23",3.694,"27","12",2023,2023-12-27
"28Dic23",3.705,"28","12",2023,2023-12-28
"29Dic23",3.713,"29","12",2023,2023-12-29
"01Ene24",NA,"01","01",2024,2024-01-01
"02Ene24",NA,"02","01",2024,2024-01-02
"03Ene24",3.738,"03","01",2024,2024-01-03
"04Ene24",3.74,"04","01",2024,2024-01-04
"05Ene24",3.723,"05","01",2024,2024-01-05
"08Ene24",3.719,"08","01",2024,2024-01-08
"09Ene24",3.708,"09","01",2024,2024-01-09
"10Ene24",3.704,"10","01",2024,2024-01-10
"11Ene24",3.703,"11","01",2024,2024-01-11
"12Ene24",3.696,"12","01",2024,2024-01-12
"15Ene24",3.704,"15","01",2024,2024-01-15
"16Ene24",3.718,"16","01",2024,2024-01-16
"17Ene24",3.739,"17","01",2024,2024-01-17
"18Ene24",3.742,"18","01",2024,2024-01-18
"19Ene24",3.743,"19","01",2024,2024-01-19
"22Ene24",3.746,"22","01",2024,2024-01-22
"23Ene24",3.755,"23","01",2024,2024-01-23
"24Ene24",3.76,"24","01",2024,2024-01-24
"25Ene24",3.765,"25","01",2024,2024-01-25
"26Ene24",3.786,"26","01",2024,2024-01-26
"29Ene24",3.807,"29","01",2024,2024-01-29
"30Ene24",3.813,"30","01",2024,2024-01-30
"31Ene24",3.808,"31","01",2024,2024-01-31
"01Feb24",3.808,"01","02",2024,2024-02-01
"02Feb24",3.829,"02","02",2024,2024-02-02
"05Feb24",3.852,"05","02",2024,2024-02-05
"06Feb24",3.858,"06","02",2024,2024-02-06
"07Feb24",3.868,"07","02",2024,2024-02-07
"08Feb24",3.854,"08","02",2024,2024-02-08
"09Feb24",3.868,"09","02",2024,2024-02-09
"12Feb24",3.869,"12","02",2024,2024-02-12
"13Feb24",3.883,"13","02",2024,2024-02-13
"14Feb24",3.877,"14","02",2024,2024-02-14
"15Feb24",3.87,"15","02",2024,2024-02-15
"16Feb24",3.844,"16","02",2024,2024-02-16
"19Feb24",3.807,"19","02",2024,2024-02-19
"20Feb24",3.784,"20","02",2024,2024-02-20
"21Feb24",3.797,"21","02",2024,2024-02-21
"22Feb24",3.807,"22","02",2024,2024-02-22
"23Feb24",3.799,"23","02",2024,2024-02-23
"26Feb24",3.803,"26","02",2024,2024-02-26
"27Feb24",3.793,"27","02",2024,2024-02-27
"28Feb24",3.797,"28","02",2024,2024-02-28
"29Feb24",3.782,"29","02",2024,2024-02-29
"01Mar24",3.773,"01","03",2024,2024-03-01
"04Mar24",3.771,"04","03",2024,2024-03-04
"05Mar24",3.77,"05","03",2024,2024-03-05
"06Mar24",3.736,"06","03",2024,2024-03-06
"07Mar24",3.726,"07","03",2024,2024-03-07
"08Mar24",3.696,"08","03",2024,2024-03-08
"11Mar24",3.692,"11","03",2024,2024-03-11
"12Mar24",3.695,"12","03",2024,2024-03-12
"13Mar24",3.671,"13","03",2024,2024-03-13
"14Mar24",3.677,"14","03",2024,2024-03-14
"15Mar24",3.692,"15","03",2024,2024-03-15
"18Mar24",3.698,"18","03",2024,2024-03-18
"19Mar24",3.703,"19","03",2024,2024-03-19
"20Mar24",3.696,"20","03",2024,2024-03-20
"21Mar24",3.701,"21","03",2024,2024-03-21
"22Mar24",3.694,"22","03",2024,2024-03-22
"25Mar24",3.707,"25","03",2024,2024-03-25
"26Mar24",3.727,"26","03",2024,2024-03-26
"27Mar24",3.721,"27","03",2024,2024-03-27
"28Mar24",NA,"28","03",2024,2024-03-28
"29Mar24",NA,"29","03",2024,2024-03-29
"01Abr24",3.734,"01","04",2024,2024-04-01
"02Abr24",3.711,"02","04",2024,2024-04-02
"03Abr24",3.694,"03","04",2024,2024-04-03
"04Abr24",3.685,"04","04",2024,2024-04-04
"05Abr24",3.691,"05","04",2024,2024-04-05
"08Abr24",3.681,"08","04",2024,2024-04-08
"09Abr24",3.693,"09","04",2024,2024-04-09
"10Abr24",3.71,"10","04",2024,2024-04-10
"11Abr24",3.711,"11","04",2024,2024-04-11
"12Abr24",3.707,"12","04",2024,2024-04-12
"15Abr24",3.725,"15","04",2024,2024-04-15
"16Abr24",3.755,"16","04",2024,2024-04-16
"17Abr24",3.749,"17","04",2024,2024-04-17
"18Abr24",3.744,"18","04",2024,2024-04-18
"19Abr24",3.702,"19","04",2024,2024-04-19
"22Abr24",3.701,"22","04",2024,2024-04-22
"23Abr24",3.701,"23","04",2024,2024-04-23
"24Abr24",3.724,"24","04",2024,2024-04-24
"25Abr24",3.745,"25","04",2024,2024-04-25
"26Abr24",3.756,"26","04",2024,2024-04-26
"29Abr24",3.734,"29","04",2024,2024-04-29
"30Abr24",3.752,"30","04",2024,2024-04-30
"01May24",NA,"01","05",2024,2024-05-01
"02May24",3.757,"02","05",2024,2024-05-02
"03May24",3.726,"03","05",2024,2024-05-03
"06May24",3.73,"06","05",2024,2024-05-06
"07May24",3.728,"07","05",2024,2024-05-07
"08May24",3.724,"08","05",2024,2024-05-08
"09May24",3.713,"09","05",2024,2024-05-09
"10May24",3.708,"10","05",2024,2024-05-10
"13May24",3.723,"13","05",2024,2024-05-13
"14May24",3.728,"14","05",2024,2024-05-14
"15May24",3.718,"15","05",2024,2024-05-15
"16May24",3.728,"16","05",2024,2024-05-16
"17May24",3.742,"17","05",2024,2024-05-17
"20May24",3.736,"20","05",2024,2024-05-20
"21May24",3.733,"21","05",2024,2024-05-21
"22May24",3.743,"22","05",2024,2024-05-22
"23May24",3.746,"23","05",2024,2024-05-23
"24May24",3.739,"24","05",2024,2024-05-24
"27May24",3.748,"27","05",2024,2024-05-27
"28May24",3.75,"28","05",2024,2024-05-28
"29May24",3.762,"29","05",2024,2024-05-29
"30May24",3.753,"30","05",2024,2024-05-30
"31May24",3.741,"31","05",2024,2024-05-31
"03Jun24",3.736,"03","06",2024,2024-06-03
"04Jun24",3.74,"04","06",2024,2024-06-04
"05Jun24",3.747,"05","06",2024,2024-06-05
"06Jun24",3.756,"06","06",2024,2024-06-06
"07Jun24",NA,"07","06",2024,2024-06-07
"10Jun24",3.781,"10","06",2024,2024-06-10
"11Jun24",3.787,"11","06",2024,2024-06-11
"12Jun24",3.772,"12","06",2024,2024-06-12
"13Jun24",3.777,"13","06",2024,2024-06-13
"14Jun24",3.776,"14","06",2024,2024-06-14
"17Jun24",3.796,"17","06",2024,2024-06-17
"18Jun24",3.789,"18","06",2024,2024-06-18
"19Jun24",3.818,"19","06",2024,2024-06-19
"20Jun24",3.814,"20","06",2024,2024-06-20
"21Jun24",3.806,"21","06",2024,2024-06-21
"24Jun24",3.805,"24","06",2024,2024-06-24
"25Jun24",3.817,"25","06",2024,2024-06-25
"26Jun24",3.822,"26","06",2024,2024-06-26
"27Jun24",3.825,"27","06",2024,2024-06-27
"28Jun24",3.837,"28","06",2024,2024-06-28
"01Jul24",3.851,"01","07",2024,2024-07-01
"02Jul24",3.833,"02","07",2024,2024-07-02
"03Jul24",3.802,"03","07",2024,2024-07-03
"04Jul24",3.802,"04","07",2024,2024-07-04
"05Jul24",3.797,"05","07",2024,2024-07-05
"08Jul24",3.797,"08","07",2024,2024-07-08
"09Jul24",3.789,"09","07",2024,2024-07-09
"10Jul24",3.785,"10","07",2024,2024-07-10
"11Jul24",3.771,"11","07",2024,2024-07-11
"12Jul24",3.74,"12","07",2024,2024-07-12
"15Jul24",3.733,"15","07",2024,2024-07-15
"16Jul24",3.725,"16","07",2024,2024-07-16
"17Jul24",3.723,"17","07",2024,2024-07-17
"18Jul24",3.735,"18","07",2024,2024-07-18
"19Jul24",3.743,"19","07",2024,2024-07-19
"22Jul24",3.758,"22","07",2024,2024-07-22
"23Jul24",NA,"23","07",2024,2024-07-23
"24Jul24",3.778,"24","07",2024,2024-07-24
"25Jul24",3.764,"25","07",2024,2024-07-25
"26Jul24",NA,"26","07",2024,2024-07-26
"29Jul24",NA,"29","07",2024,2024-07-29
"30Jul24",3.742,"30","07",2024,2024-07-30
"31Jul24",3.722,"31","07",2024,2024-07-31
"01Ago24",3.741,"01","08",2024,2024-08-01
"02Ago24",3.748,"02","08",2024,2024-08-02
"05Ago24",3.754,"05","08",2024,2024-08-05
"06Ago24",NA,"06","08",2024,2024-08-06
"07Ago24",3.74,"07","08",2024,2024-08-07
"08Ago24",3.732,"08","08",2024,2024-08-08
"09Ago24",3.731,"09","08",2024,2024-08-09
"12Ago24",3.747,"12","08",2024,2024-08-12
"13Ago24",3.75,"13","08",2024,2024-08-13
"14Ago24",3.744,"14","08",2024,2024-08-14
"15Ago24",3.737,"15","08",2024,2024-08-15
"16Ago24",3.748,"16","08",2024,2024-08-16
"19Ago24",3.74,"19","08",2024,2024-08-19
"20Ago24",3.747,"20","08",2024,2024-08-20
"21Ago24",3.744,"21","08",2024,2024-08-21
"22Ago24",3.76,"22","08",2024,2024-08-22
"23Ago24",3.748,"23","08",2024,2024-08-23
"26Ago24",3.759,"26","08",2024,2024-08-26
"27Ago24",3.748,"27","08",2024,2024-08-27
"28Ago24",3.743,"28","08",2024,2024-08-28
"29Ago24",3.75,"29","08",2024,2024-08-29
"30Ago24",NA,"30","08",2024,2024-08-30
"02Set24",3.768,"02","09",2024,2024-09-02
"03Set24",3.781,"03","09",2024,2024-09-03
"04Set24",3.797,"04","09",2024,2024-09-04
"05Set24",3.796,"05","09",2024,2024-09-05
"06Set24",3.781,"06","09",2024,2024-09-06
"09Set24",3.816,"09","09",2024,2024-09-09
"10Set24",3.823,"10","09",2024,2024-09-10
"11Set24",3.794,"11","09",2024,2024-09-11
"12Set24",3.772,"12","09",2024,2024-09-12
"13Set24",3.771,"13","09",2024,2024-09-13
"16Set24",3.788,"16","09",2024,2024-09-16
"17Set24",3.778,"17","09",2024,2024-09-17
"18Set24",3.764,"18","09",2024,2024-09-18
"19Set24",3.751,"19","09",2024,2024-09-19
"20Set24",3.754,"20","09",2024,2024-09-20
"23Set24",3.773,"23","09",2024,2024-09-23
"24Set24",3.768,"24","09",2024,2024-09-24
"25Set24",3.767,"25","09",2024,2024-09-25
"26Set24",3.737,"26","09",2024,2024-09-26
"27Set24",3.722,"27","09",2024,2024-09-27
"30Set24",3.714,"30","09",2024,2024-09-30
"01Oct24",3.718,"01","10",2024,2024-10-01
"02Oct24",3.721,"02","10",2024,2024-10-02
"03Oct24",3.73,"03","10",2024,2024-10-03
"04Oct24",3.734,"04","10",2024,2024-10-04
"07Oct24",3.744,"07","10",2024,2024-10-07
"08Oct24",NA,"08","10",2024,2024-10-08
"09Oct24",3.76,"09","10",2024,2024-10-09
"10Oct24",3.767,"10","10",2024,2024-10-10
"11Oct24",3.759,"11","10",2024,2024-10-11
"14Oct24",3.763,"14","10",2024,2024-10-14
"15Oct24",3.77,"15","10",2024,2024-10-15
"16Oct24",3.773,"16","10",2024,2024-10-16
"17Oct24",3.771,"17","10",2024,2024-10-17
"18Oct24",3.759,"18","10",2024,2024-10-18
"21Oct24",3.767,"21","10",2024,2024-10-21
"22Oct24",3.759,"22","10",2024,2024-10-22
"23Oct24",3.757,"23","10",2024,2024-10-23
"24Oct24",3.757,"24","10",2024,2024-10-24
"25Oct24",3.758,"25","10",2024,2024-10-25
"28Oct24",3.775,"28","10",2024,2024-10-28
"29Oct24",3.772,"29","10",2024,2024-10-29
"30Oct24",3.776,"30","10",2024,2024-10-30
"31Oct24",3.775,"31","10",2024,2024-10-31
"01Nov24",NA,"01","11",2024,2024-11-01
"04Nov24",3.774,"04","11",2024,2024-11-04
"05Nov24",3.778,"05","11",2024,2024-11-05
"06Nov24",3.787,"06","11",2024,2024-11-06
"07Nov24",3.76,"07","11",2024,2024-11-07
"08Nov24",3.769,"08","11",2024,2024-11-08
"11Nov24",3.781,"11","11",2024,2024-11-11
"12Nov24",3.788,"12","11",2024,2024-11-12
"13Nov24",3.8,"13","11",2024,2024-11-13
"14Nov24",3.805,"14","11",2024,2024-11-14
"15Nov24",3.807,"15","11",2024,2024-11-15
"18Nov24",3.799,"18","11",2024,2024-11-18
"19Nov24",3.798,"19","11",2024,2024-11-19
"20Nov24",3.798,"20","11",2024,2024-11-20
"21Nov24",3.797,"21","11",2024,2024-11-21
"22Nov24",3.798,"22","11",2024,2024-11-22
"25Nov24",3.783,"25","11",2024,2024-11-25
"26Nov24",3.773,"26","11",2024,2024-11-26
"27Nov24",3.762,"27","11",2024,2024-11-27
"28Nov24",3.759,"28","11",2024,2024-11-28
"29Nov24",3.745,"29","11",2024,2024-11-29
"02Dic24",3.766,"02","12",2024,2024-12-02
"03Dic24",3.749,"03","12",2024,2024-12-03
"04Dic24",3.74,"04","12",2024,2024-12-04
"05Dic24",3.735,"05","12",2024,2024-12-05
"06Dic24",3.727,"06","12",2024,2024-12-06
"09Dic24",NA,"09","12",2024,2024-12-09
"10Dic24",3.718,"10","12",2024,2024-12-10
"11Dic24",3.722,"11","12",2024,2024-12-11
"12Dic24",3.735,"12","12",2024,2024-12-12
"13Dic24",3.737,"13","12",2024,2024-12-13
"16Dic24",3.74,"16","12",2024,2024-12-16
"17Dic24",3.746,"17","12",2024,2024-12-17
"18Dic24",3.74,"18","12",2024,2024-12-18
"19Dic24",3.743,"19","12",2024,2024-12-19
"20Dic24",3.731,"20","12",2024,2024-12-20
"23Dic24",3.735,"23","12",2024,2024-12-23
"24Dic24",3.731,"24","12",2024,2024-12-24
"25Dic24",NA,"25","12",2024,2024-12-25
"26Dic24",3.748,"26","12",2024,2024-12-26
"27Dic24",3.75,"27","12",2024,2024-12-27
"30Dic24",3.77,"30","12",2024,2024-12-30
